,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,1.8583253383636475,0.32207179069519043,0.8875714285714286,0.9992500191224041,2,2,"{'C': 2, 'gamma': 2}",24,0.894361170592434,0.9994641900339346,0.8814285714285715,0.9991071428571429,0.8864285714285715,0.9991071428571429,0.8878571428571429,0.9996428571428572,0.8877769835596855,0.9989287627209427,0.007078491575076571,0.002057538761832315,0.00413033164192993,0.000262382857477101
11,2.0361631393432615,0.3784604549407959,0.803,0.9998214221927384,2,4,"{'C': 2, 'gamma': 4}",27,0.8108493932905068,0.9998213966779782,0.8028571428571428,0.9998214285714285,0.805,0.9996428571428572,0.7964285714285714,0.9998214285714285,0.7998570407433881,1.0,0.007465867441878358,0.0022425102993280377,0.004873031971293502,0.00011293848858367727
12,0.5819482803344727,0.05954875946044922,0.9298571428571428,0.9603569765397179,3,0.125,"{'C': 3, 'gamma': 0.125}",2,0.9293361884368309,0.9583854259689231,0.9221428571428572,0.9616071428571429,0.9371428571428572,0.9591071428571428,0.9307142857142857,0.9596428571428571,0.9299499642601858,0.9630423138725228,0.00861906222408275,0.0004800505983597033,0.004766691255609163,0.0017165672030219588
13,1.225060224533081,0.08223347663879395,0.9275714285714286,0.9743570787468092,3,0.25,"{'C': 3, 'gamma': 0.25}",10,0.926481084939329,0.972852295052688,0.9164285714285715,0.9758928571428571,0.9335714285714286,0.9728571428571429,0.9321428571428572,0.9755357142857143,0.9292351679771265,0.9746473843956437,0.0357856680930461,0.0010989706381811558,0.006083041583788778,0.0012919950483097832
14,1.4943365097045898,0.12674131393432617,0.9255714285714286,0.989571415681942,3,0.5,"{'C': 3, 'gamma': 0.5}",12,0.9236259814418273,0.9892838006786926,0.9164285714285715,0.9901785714285715,0.93,0.9903571428571428,0.9342857142857143,0.9883928571428572,0.9235167977126519,0.9896447063024459,0.026192630201723084,0.0012057645797119876,0.006117986885948243,0.000701868852380841
15,1.7657478332519532,0.2294311046600342,0.9212857142857143,0.9973928889907535,3,1,"{'C': 3, 'gamma': 1}",17,0.9214846538187009,0.9973209501696731,0.9135714285714286,0.9978571428571429,0.9185714285714286,0.9980357142857142,0.93,0.9973214285714286,0.9228020014295926,0.9964292090698089,0.03291014159472405,0.0009742118346076447,0.005388012921420482,0.0005599494241159904
16,1.8615025997161865,0.3189751148223877,0.8877142857142857,0.9995000255033718,3,2,"{'C': 3, 'gamma': 2}",23,0.894361170592434,0.9998213966779782,0.8814285714285715,0.9994642857142857,0.8871428571428571,0.9994642857142857,0.8885714285714286,0.9996428571428572,0.8870621872766261,0.9991073022674523,0.015104405929385676,0.0018711834954922874,0.004128171355528938,0.00023684024750237525
17,2.0318198204040527,0.37845473289489745,0.803,0.9998928571428571,3,4,"{'C': 3, 'gamma': 4}",27,0.8108493932905068,1.0,0.8028571428571428,0.9998214285714285,0.805,0.9998214285714285,0.7964285714285714,0.9998214285714285,0.7998570407433881,1.0,0.0056289775685234265,0.003212641915219827,0.004873031971293502,8.74817765279921e-05
18,0.5829389572143555,0.05876474380493164,0.928,0.9627140939071548,4,0.125,"{'C': 4, 'gamma': 0.125}",7,0.926481084939329,0.9596356492230755,0.92,0.9651785714285714,0.935,0.9608928571428571,0.9278571428571428,0.9628571428571429,0.9306647605432452,0.9650062488841278,0.011096648187313572,0.0013491493437961385,0.004948232729006788,0.0021973534953979535
19,1.1881513118743896,0.08163342475891114,0.9252857142857143,0.9771784818330875,4,0.25,"{'C': 4, 'gamma': 0.25}",13,0.9271948608137045,0.9744597249508841,0.9142857142857143,0.9792857142857143,0.9285714285714286,0.9764285714285714,0.9314285714285714,0.97875,0.9249463902787706,0.9769683985002678,0.031184748701842263,0.0008153679576608897,0.005887157458502081,0.001726744773520296
20,1.567763900756836,0.12594685554504395,0.924,0.9920000126503284,4,0.5,"{'C': 4, 'gamma': 0.5}",14,0.9221984296930764,0.9919628505090194,0.9135714285714286,0.9921428571428571,0.9292857142857143,0.9928571428571429,0.93,0.9914285714285714,0.9249463902787706,0.991608641314051,0.0721572906280852,0.0010226524840793163,0.005947047439758849,0.0004972271830881574
21,1.7177871704101562,0.22822232246398927,0.9208571428571428,0.9981785777799292,4,1,"{'C': 4, 'gamma': 1}",20,0.9193433261955746,0.9980353634577603,0.9135714285714286,0.9985714285714286,0.9178571428571428,0.9983928571428572,0.9307142857142857,0.9980357142857142,0.9228020014295926,0.9978575254418853,0.049244557261423065,0.0007966594107166496,0.005750094761470298,0.0002623899058940811
22,1.8641697883605957,0.3194305896759033,0.888,0.9995714413219756,4,2,"{'C': 4, 'gamma': 2}",22,0.8950749464668094,0.9998213966779782,0.8814285714285715,0.9994642857142857,0.8871428571428571,0.9994642857142857,0.8892857142857142,0.9996428571428572,0.8870621872766261,0.9994643813604713,0.00961068004494552,0.002241459199049432,0.004394107737675222,0.00014283163749159855
23,2.040015459060669,0.3774155616760254,0.803,0.9999285714285714,4,4,"{'C': 4, 'gamma': 4}",27,0.8108493932905068,1.0,0.8028571428571428,0.9998214285714285,0.805,0.9998214285714285,0.7964285714285714,1.0,0.7998570407433881,1.0,0.00545926594448874,0.0013506211172423098,0.004873031971293502,8.748177652799209e-05
24,0.5851458549499512,0.05777592658996582,0.9278571428571428,0.9646069510750668,5,0.125,"{'C': 5, 'gamma': 0.125}",8,0.926481084939329,0.9616002857653152,0.9192857142857143,0.9675,0.9357142857142857,0.9619642857142857,0.9278571428571428,0.965,0.9299499642601858,0.9669701838957329,0.005403557436679824,0.0008178754445438882,0.0053193184239172875,0.0024549055133775547
25,1.1982658863067628,0.0800199031829834,0.9257142857142857,0.9792856183548165,5,0.25,"{'C': 5, 'gamma': 0.25}",11,0.926481084939329,0.9776745847472763,0.915,0.9805357142857143,0.9278571428571428,0.9773214285714286,0.9335714285714286,0.9805357142857143,0.9256611865618298,0.9803606498839493,0.024059913099555363,0.0013332973754291316,0.006028493468912984,0.001465240133992623
26,1.5451106071472167,0.12412996292114258,0.9228571428571428,0.9939642792581539,5,0.5,"{'C': 5, 'gamma': 0.5}",15,0.9207708779443254,0.9937488837292373,0.9128571428571428,0.9948214285714285,0.9264285714285714,0.9946428571428572,0.9285714285714286,0.9926785714285714,0.9256611865618298,0.9939296554186753,0.03956807310677887,0.0007411024895953744,0.0056146383390659575,0.0007610271424913472
27,1.7142634391784668,0.2276088237762451,0.9211428571428572,0.9987143048298567,5,1,"{'C': 5, 'gamma': 1}",19,0.9193433261955746,0.9989283800678692,0.9135714285714286,0.99875,0.9178571428571428,0.9989285714285714,0.9314285714285714,0.9985714285714286,0.9235167977126519,0.998393144081414,0.05672415235618651,0.0035343829658076365,0.006046330465028446,0.00020812033999066052
28,1.8551263809204102,0.318257474899292,0.8882857142857142,0.999714285712008,5,2,"{'C': 5, 'gamma': 2}",21,0.8957887223411849,0.9998213966779782,0.8814285714285715,0.9996428571428572,0.8871428571428571,0.9996428571428572,0.89,0.9996428571428572,0.8870621872766261,0.9998214604534904,0.010097946515809487,0.0018550804900135899,0.004671115409687833,8.748177606301433e-05
29,2.0353991985321045,0.3772080898284912,0.8031428571428572,0.9999285714285714,5,4,"{'C': 5, 'gamma': 4}",26,0.8115631691648822,1.0,0.8028571428571428,0.9998214285714285,0.805,0.9998214285714285,0.7964285714285714,1.0,0.7998570407433881,1.0,0.005905427276726109,0.002235284660660637,0.00510594596615796,8.748177652799209e-05
